NJ Guide to Affordable Housing 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPE MAY COUNTY,,,,,,,,,
o,seq,ltd,source,notes,proj_no,projj_no2,,development / aka,aka,street,street_2,,municipality,muni_2,county,comu,comu_2,st,zip,,type,tenure,units,,property,ph_srce,area,phone,agent,agent address,area_2,phone_2,website,,program,date,seq,
0.1,,,PHA,,NJ912,,,NJ Department of Community Affairs / DCA,DCA,"101 S Broad St, Trenton 08625",PO Box 051,,Trenton,,Mercer,1111,1111,NJ,08625,,,,"22,193 Section 8 vouchers",,,,(609),292-4080,DCA,"101 S Broad St, Trenton 08625",,,NJ Department of Community Affairs,,,1/12/2022,,
0.2,,,PHA,,NJ902,,,NJ Housing & Mortgage Finance Agency  / HMFA,HMFA,"637 S Clinton Av, PO Box 18550, Trenton 08650",PO Box 018550,,Trenton,,Mercer,1111,1111,NJ,08650,,,,No Section 8 vouchers,,,,(609),278-7400,HMFA,"637 S Clinton Av, PO Box 18550, Trenton 08650",,,New Jersey Housing and Mortgage Finance Agency (nj.gov),,,1/12/2022,,
1,,,,,,,Cape May City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10108,,PHA,,NJ062,,,Cape May Housing Authority,,639 Lafayette St,,,Cape May City,,Cape May,0502,502,NJ,08204,,,,No Section 8 vouchers,,,,(609),884-8703,Cape May Housing Authority,"639 Lafayette St, Cape May 08204",(609),884-8703,Cape May Housing Authority (capemayha.org),,Public Housing,1/12/2022,10108,
3,10109,,PHA,,,,,Broad St Court,,11 Broad St,631-45 Broad St,,Cape May City,,Cape May,0502,502,NJ,08204,,family,rent,30,,Broad St Court,,(609),884-8703,Cape May Housing Authority,"639 Lafayette St, Cape May 08204",(609),884-8703,Cape May Housing Authority (capemayha.org),,Public Housing,11/24/2020,10109,
4,10110,,PHA,,NJ062000001,,,Lafayette Court,,1-27 Lafayette St,639 Lafayette St & Broad St,,Cape May City,,Cape May,0502,502,NJ,08204,,age,rent,27,,Lafayette Court,,(609),884-8703,Cape May Housing Authority,"639 Lafayette St, Cape May 08204",(609),884-8703,Cape May Housing Authority (capemayha.org),,Public Housing,11/24/2020,10110,
5,10111,,PHA,,NJ062000001,,,Osborne Court,,1-30 Osborne St,715 Osborne St,,Cape May City,,Cape May,0502,502,NJ,08204,,age,rent,28,,Osborne Court,,(609),884-8703,Cape May Housing Authority,"639 Lafayette St, Cape May 08204",(609),884-8703,Cape May Housing Authority (capemayha.org),,Public Housing,11/24/2020,10111,
6,40097,FP,HMFA,,HFA00307,035003NI,,Victorian Towers / Camden Diocese,Camden Diocese,608 Washington St,,,Cape May City,,Cape May,0502,502,NJ,08204,,age,rent,205,,Victorian Towers / Camden Diocese,hmfa,(609),884-5883,"Camden Diocese, Housing Services","1845 Haddon Av, Camden 08104",(856),342-4100,Hudson Valley Property Group - Pioneering Community Preservation,,HMFA / Section 236,5/31/2018,40097,
7,,,,,,,Cape May Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,90706,,MtL,,,,,Cape May Point Borough housing rehab,,,,,Cape May Point,,Cape May,0503,503,NJ,08212,,,,7,,Cape May Point Borough housing rehab,web,(609),884-8468,Cape May Point Borough,"215 Lighthouse Av, POB 490, Cape May Point 08212",,,Home (capemaypoint.org),,MtL,4/28/2021,90706,
9,,,,,,,Dennis Township,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,30161,,HUD,,NJ39Q031001,035HD053,,Dennis Township ARC group homes,"special, 8 du",intentional blank,,,Woodbine,,Cape May,0504,504,NJ,08245,,special,rent,8,,Cape May County ARC group home,,(609),861-7100,Cape May County ARC,POB 255; 822 Rte 47; South Dennis 08245,,,The Arc of Cape May – For people with intellectual and developmental disabilities,,Section 202,,30161,
11,,,,,,,Lower Township,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,30156,,HUD,,NJ39Q011006,035HD049,,Cape Counseling 1  group home / Cape Housing 1,"special, 3 du",intentional blank,,,Lower Township,North Cape May,Cape May,0505,505,NJ,08204,,special,rent,3,,Cape Counseling 1 consumer group home / Cape Housing 1,,(609),463-0014,Cape Counseling group home,,,,,,Section 202,,30156,
13,40098,FP,HMFA,,HFA02399,,,Conifer Village at Cape May Senior Apts,,3805 Bayshore Rd,,,Lower Township,North Cape May,Cape May,0505,505,NJ,08204,,age,rent,90,,Conifer Village at Cape May,hmfa,(609),886-5400,Conifer Realty,"20000 Horizon Way, ste 180, Mount Laurel 08054",(856),793-2078,Conifer Village at Cape May Senior Apartments - Conifer Realty LLC (coniferllc.com),,HMFA / tax credit,5/3/2018,40098,
14,90707,,MtL,,,,,Developmentally disabled group homes 1 & 2,,intentional blank,,,Lower Township,,Cape May,0505,505,NJ,08204,,special,rent,9,,ARC group homes 1 & 2,web,(609),861-7100,Cape May County ARC,"POB 255, South Dennis 08245",,,The Arc of Cape May – For people with intellectual and developmental disabilities,,MtL,4/28/2021,90707,
15,90708,NP,MtL,,,,,Haven House / St John of God,Haven House at St John of God,676 Town Bank Rd,,,Lower Township,North Cape May,Cape May,0505,505,NJ,08204,,age,rent,75,,Haven House / St John of God,whte_pgs,(856),342-4125,"Catholic Charities, Camden Diocese","1845 Haddon Av, Camden 08103",(856),342-4187,Haven House – Diocesan Housing Services (camdendiocese.org),,Section 202 / MtL,4/28/2021,90708,
16,90709,,MtL,,,,,Lower Township housing rehab,,,,,Lower Township,,Cape May,0505,505,NJ,08204,,,,61,,Lower Township housing rehab,web,(609),886-2005,Lower Township,"2600 Bay Shore Rd Vilas, Lower Twp 08204",,,Township of Lower - A Place To Remember,,MtL,4/28/2021,90709,
17,90710,,MtL,,,,,Town Bank Manor Apts,,620 Town Bank Rd,,,Lower Township,North Cape May,Cape May,0505,505,NJ,08204,,family,rent,16,,Town Bank Manor Apts,whte_pgs,(609),641-9888,,,,,"Townbank Manor Apartments - Town Bank, NJ | Apartments.com",,MtL,4/28/2021,90710,
18,90711,,MtL,,,,,Victoria Commons assisted living,,610 Town Bank Rd,,,Lower Township,North Cape May,Cape May,0505,505,NJ,08204,,age,rent,227,,Victoria Commons assisted living,web,(609),894-0044,,,,,"Long Term Care Services, Transitional Care, Rehab | Genesis HealthCare (genesishcc.com)",,MtL,4/28/2021,90711,
19,30158,,HUD,,NJ39T861023,035EH083,,Yorkshire Pl Apts / Lower Township RHF housing,"age, 54 du",664 Town Bank Rd,,,Lower Township,North Cape May,Cape May,0505,505,NJ,08204,,age,rent,54,,Yorkshire Pl Apts / Lower Township RHF housing,,(609),898-0730,,,,,"Yorkshire Place Apartments - Cape May, NJ | Apartments.com",,Section 202 / 811 / MtL,4/28/2021,30158,
20,,,,,,,Middle Township,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
