NJ Guide to Affordable Housing 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARREN COUNTY,,,,,,,,,,
o,seq,ltd,source,notes,proj_no,proj_no_2,,development / aka,aka,street,street_2,,municipality,muni_2,county,comu,comu_2,ST,zip,,type,tenure,units,,property,ph_srce,area,phone,agent,agent address,area_2,phone_2,website,,program,date,seq,,
0.1,,,PHA,,NJ912,,,NJ Department of Community Affairs / DCA,DCA,"101 S Broad St, Trenton 08625",PO Box 051,,Trenton,,Mercer,1111,1111,NJ,08625,,,,"22,193 Section 8 vouchers",,,,(609),292-4080,DCA,"101 S Broad St, Trenton 08625",,,NJ Department of Community Affairs,,,1/12/2022,,,
0.2,,,PHA,,NJ902,,,NJ Housing & Mortgage Finance Agency  / HMFA,HMFA,"637 S Clinton Av, Trenton 08650",PO Box 18550,,Trenton,,Mercer,1111,1111,NJ,08650,,,,No Section 8 vouchers,,,,(609),278-7400,HMFA,"637 S Clinton Av, Trenton 08650",,,New Jersey Housing and Mortgage Finance Agency (nj.gov),,,1/12/2022,,,
0.3,10524,,PHA,,NJ102,,,Warren County Housing,,"337 Water St, Belvidere 07823",,,Belvidere Town,,Warren,2100,2100,NJ,07823,,,,666 Section 8 vouchers,,,,(908),475-3989,Warren County Housing Authority,"337 Water St, Belvidere 07823",(908),475-8637,Warren Housing Authority – Find Local New Jersey Housing At OfficialHousingAuthority.com,,Public Housing,1/12/2022,10524,,
1,,,,,,,Allamuchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,92858,,MtL,,,,,Allamuchy Township housing rehab,,,,,Allamuchy,,Warren,2101,2101,NJ,07838,,,,11,,Allamuchy Township housing rehab,web,(908),852-5132,Allamuchy Township,"292 Alphano Rd, Great Meadows 07833",(908),852-5132,"Allamuchy Township, NJ (allamuchynj.org)",,MtL,9/16/2021,92858,,
3,92859,,MtL,added,,,,Mountain Ridge Garden Apts,,5 Indigo Rd,,,Allamuchy,Hackettestown,Warren,2101,2101,NJ,07840,,family,rent,30,,Mountain Ridge Garden Apts,web,(609),664-2769,"Community Grants, Planning & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",,,allamuchy_mountainridge_photo - CGP&H (affordablehomesnewjersey.com),,MtL,9/16/2021,92859,,
4,92860,,MtL,,,,,Old Farm Village,,115 Old Farm Dr,,,Allamuchy,Great Meadows,Warren,2101,2101,NJ,07838,,family,rent,13,,Old Farm Village,web,(609),664-2769,"Community Grants, Planning & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",,,Locations - CGP&H (affordablehomesnewjersey.com),,MtL,9/17/2021,92860,,
5,,,,,,,Alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,90051,,MtL,,,,,Alpha Borough affordable housing,,,,,Alpha,,Warren,2102,2102,NJ,07620,,family,rent,8,,Alpha Borough affordable housing,whte_pgs,(908),854-2904,Alpha Borough,"1001 East Blvd, Alpha 08865",(908),854-2904,"Alpha, NJ (alphaboronj.org)",,MtL,,90051,,
7,92861,,MtL,,,,,Alpha Borough housing rehab,,,,,Alpha,,Warren,2102,2102,NJ,08865,,,,2,,Alpha Borough housing rehab,web,(908),854-2904,Alpha Borough,"1001 East Blvd, Alpha 08865",(908),854-2904,"Alpha, NJ (alphaboronj.org)",,MtL,9/24/2021,92861,,
